Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
1,1,0,0,0,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P01
2,1,0,0,1,5,24,5,0,O,0,5.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P02
3,1,0,0,2,3,9,3,1,O,0,3.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P03
4,1,0,0,3,1,2,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P04
5,1,0,0,4,1,4,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P05
6,1,1,0,5,1,6,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Cookit Cutters,Cookit Cutters_P06
7,0,0,1,5,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Cookit Cutters,Cookit Cutters_P07
8,1,1,1,6,1,8,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Cookit Cutters,Cookit Cutters_P08
9,0,1,2,6,2,4,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Cookit Cutters,Cookit Cutters_P09
10,0,0,3,6,9,34,9,4,D,0,9.0,0.0,0.0,0,0,0,0,1,Cookit Cutters,Cookit Cutters_P10
11,0,0,3,7,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Cookit Cutters,Cookit Cutters_P11
12,1,1,3,8,5,13,4,1,O,1,5.0,0.0,1.0,0,1,0,0,0,Cookit Cutters,Cookit Cutters_P12
13,0,0,4,8,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Cookit Cutters,Cookit Cutters_P13
14,1,0,4,9,1,10,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P14
15,1,0,4,10,3,20,3,2,O,0,3.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P15
16,1,0,4,11,2,7,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P16
17,1,0,4,12,1,4,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P17
18,1,1,4,13,2,4,1,1,O,1,2.0,0.0,1.0,0,1,0,0,0,Cookit Cutters,Cookit Cutters_P18
19,0,1,5,13,3,10,2,1,D,1,3.0,0.0,1.0,0,0,0,1,1,Cookit Cutters,Cookit Cutters_P19
20,0,0,6,13,1,5,1,1,D,0,1.0,0.0,0.0,0,0,0,0,1,Cookit Cutters,Cookit Cutters_P20
21,1,0,6,14,0,0,0,0,O,0,0.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P21
